id,code,name
0,1301,極洋
1,1305,ダイワ上場投信－トピックス
2,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信
3,1308,上場インデックスファンドＴＯＰＩＸ
4,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
5,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信
6,1312,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コア・インデックス連動型上場投信
7,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］
8,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信
9,1320,ダイワ上場投信－日経２２５
10,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信
11,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００
12,1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信
13,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信
14,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信
15,1326,ＳＰＤＲゴールド・シェア
16,1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券
17,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信
18,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ
19,1330,上場インデックスファンド２２５
20,1332,日本水産
21,1333,マルハニチロ
22,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信
23,1344,ＭＡＸＩＳ　トピックス・コア３０上場投信
24,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
25,1346,ＭＡＸＩＳ　日経２２５上場投信
26,1348,ＭＡＸＩＳ　トピックス上場投信
27,1349,ＡＢＦ汎アジア債券インデックス・ファンド
28,1352,ホウスイ
29,1356,ＴＯＰＩＸベア２倍上場投信
30,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
31,1358,上場インデックスファンド日経レバレッジ指数
32,1360,日経平均ベア２倍上場投信
33,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
34,1365,ダイワ上場投信－日経平均レバレッジ・インデックス
35,1366,ダイワ上場投信－日経平均ダブルインバース・インデックス
36,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数
37,1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数
38,1369,Ｏｎｅ　ＥＴＦ　日経２２５
39,1375,雪国まいたけ
